metric,value,computed_at,run_name
completeness__event_id,0.9808080808080808,2025-09-02T15:46:37.987063,after_cleaning
completeness__title,1.0,2025-09-02T15:46:37.987063,after_cleaning
completeness__url,0.9717171717171718,2025-09-02T15:46:37.987063,after_cleaning
completeness__published_at,1.0,2025-09-02T15:46:37.987063,after_cleaning
completeness__ingested_at,1.0,2025-09-02T15:46:37.987063,after_cleaning
completeness__source,1.0,2025-09-02T15:46:37.987063,after_cleaning
completeness__category,0.9151515151515152,2025-09-02T15:46:37.987063,after_cleaning
completeness__language,0.8181818181818182,2025-09-02T15:46:37.987063,after_cleaning
validity__url_format,0.9717171717171718,2025-09-02T15:46:37.987063,after_cleaning
validity__language_code,0.8181818181818182,2025-09-02T15:46:37.987063,after_cleaning
consistency__publish_le_ingest,1.0,2025-09-02T15:46:37.987063,after_cleaning
uniqueness__duplicate_event_id_rate,0.0,2025-09-02T15:46:37.987063,after_cleaning
uniqueness__duplicate_title_url_rate,0.0,2025-09-02T15:46:37.987063,after_cleaning
