event_id,source,title,summary,url,published_at,ingested_at,category,language,location,author,entities,sentiment,relevance_score
evt_000000,NYTimes,AP News reveals AI model amid growth,Short abstract 0,https://news.com/article/139317,2025-08-31 22:37:37.732433+00:00,2025-09-01 03:18:37.732433+00:00,business,en,FR,Staff Writer,"{""key"": ""value""}",0.449149772029491,0.369818089543532
evt_000001,CNN,Al Jazeera launches AI model in new study,Short abstract 1,https://news.com/article/148845,2025-08-31 09:43:37.732433+00:00,2025-08-31 21:19:37.732433+00:00,finance,en,CA,Staff Writer,"[""ai"", ""economy""]",0.058343522292595006,0.46253756535529506
evt_000002,Al Jazeera,Al Jazeera reports government amid growth,Short abstract 2,https://example.com/article/691783,2025-09-01 00:11:37.732433+00:00,2025-09-01 11:54:37.732433+00:00,politics,fr,AU,Staff Writer,"[""ai"", ""economy""]",-0.418455466392949,0.563217126764837
evt_000003,The Verge,CNN wins scientist amid growth,Short abstract 3,https://publisher.io/article/619167,2025-08-31 23:17:37.732433+00:00,2025-09-01 07:16:37.732433+00:00,,,BR,Staff Writer,"[""ai"", ""economy""]",-0.051505188073245,0.17374615855796102
evt_000004,BBC,ESPN debuts market as season starts,Short abstract 4,https://publisher.io/article/700861,2025-09-02 00:14:37.732433+00:00,2025-09-02 04:24:37.732433+00:00,world,,DE,Staff Writer,"[""ai"", ""economy""]",-0.49801561072752804,0.41270753688190104
evt_000015,CNN,ESPN wins device in partnership,Short abstract 15,https://example.com/article/939724,2025-09-02 04:53:37.732433+00:00,2025-09-02 13:00:37.732433+00:00,technology,en,BR,Staff Writer,"[""ai"", ""economy""]",-0.40573246112925304,0.213242808093445
evt_000016,ESPN,BBC expands AI model following earnings,Short abstract 16,https://media.org/article/263486,2025-09-01 19:36:37.732433+00:00,2025-09-01 19:37:37.732433+00:00,finance,fr,IN,Staff Writer,"[""ai"", ""economy""]",0.839093114744889,0.075345036594419
evt_000017,CNN,CNN launches team after review,Short abstract 17,https://news.com/article/900776,2025-09-02 02:13:37.732433+00:00,2025-09-02 12:12:37.732433+00:00,economy,,CA,Staff Writer,"[""ai"", ""economy""]",-0.15925502920496,0.22908701004362103
evt_000018,Al Jazeera,NYTimes debuts economy after review,Short abstract 18,https://publisher.io/article/635347,2025-09-02 07:48:37.732433+00:00,2025-09-02 17:10:37.732433+00:00,politics,en,IN,Staff Writer,"[""ai"", ""economy""]",-0.884903130877919,0.08337902339068201
evt_000019,AP News,NYTimes launches government as season starts,Short abstract 19,https://publisher.io/article/605924,2025-09-01 20:35:37.732433+00:00,2025-09-01 21:05:37.732433+00:00,world,en,,Staff Writer,"{""key"": ""value""}",-0.13588645311403302,0.34776795412298905
evt_000020,Reuters,AP News secures government in new study,Short abstract 20,https://publisher.io/article/637040,2025-09-02 09:29:37.732433+00:00,2025-09-02 09:57:37.732433+00:00,sports,es,CA,Staff Writer,"[""ai"", ""economy""]",0.090897052556711,0.27031098411673604
evt_000021,The Verge,NYTimes reports vaccine after review,Short abstract 21,https://site.net/article/563594,2025-08-31 02:14:37.732433+00:00,2025-08-31 03:58:37.732433+00:00,world,en,AU,Staff Writer,"{""key"": ""value""}",0.887159788933448,0.156996377221039
evt_000022,Bloomberg,BBC investigates startup following earnings,Short abstract 22,https://example.com/article/517602,2025-09-01 00:53:37.732433+00:00,2025-09-01 00:56:37.732433+00:00,,en,IN,,"[""ai"", ""economy""]",,0.28082491689382805
evt_000023,TechCrunch,CNN reveals government amid growth,Short abstract 23,https://example.com/article/454397,2025-09-01 19:01:37.732433+00:00,2025-09-01 23:33:37.732433+00:00,finance,en,BR,,"{""key"": ""value""}",,0.181131423341088
evt_000024,AP News,CNN announces policy citing demand,Short abstract 24,https://news.com/article/383583,2025-08-30 21:07:37.732433+00:00,2025-08-30 23:39:37.732433+00:00,world,en,FR,,"[""ai"", ""economy""]",,0.125908363660993
evt_000025,Al Jazeera,ESPN reveals policy citing demand,Short abstract 25,https://news.com/article/545977,2025-09-01 06:21:37.732433+00:00,2025-09-01 06:55:37.732433+00:00,,en,CA,,"[""ai"", ""economy""]",-0.582724968120764,0.13699545324908802
evt_000026,The Verge,AP News secures market citing demand,Short abstract 26,https://site.net/article/380871,2025-09-01 06:41:37.732433+00:00,2025-09-01 14:35:37.732433+00:00,economy,en,US,Staff Writer,"{""key"": ""value""}",,0.21571128363167702
evt_000027,The Verge,The Verge files scientist citing demand,Short abstract 27,https://news.com/article/383663,2025-09-02 01:36:37.732433+00:00,2025-09-02 03:39:37.732433+00:00,world,en,CA,Staff Writer,"{""key"": ""value""}",-0.152371385591752,0.346009852761861
evt_000028,ESPN,AP News debuts chip following earnings,Short abstract 28,https://site.net/article/631298,2025-08-30 23:11:37.732433+00:00,2025-08-31 00:43:37.732433+00:00,entertainment,es,AU,,"{""key"": ""value""}",,0.09413168895385801
evt_000029,Reuters,AP News investigates device after review,Short abstract 29,https://site.net/article/630519,2025-09-01 22:21:37.732433+00:00,2025-09-02 01:24:37.732433+00:00,business,,AU,Staff Writer,"{""key"": ""value""}",0.267642795934459,0.36134568379172105
,Bloomberg,Bloomberg files government after review,Short abstract 30,https://media.org/article/328448,2025-09-01 16:36:37.732433+00:00,2025-09-01 19:04:37.732433+00:00,world,en,US,Staff Writer,"{""key"": ""value""}",0.07569664579042201,0.070254218330699
evt_000031,Reuters,AP News investigates policy after review,Short abstract 31,https://example.com/article/513116,2025-09-01 04:14:37.732433+00:00,2025-09-01 12:26:37.732433+00:00,politics,,CA,Staff Writer,"{""key"": ""value""}",0.94436470897778,0.61840171727579
evt_000032,Al Jazeera,TechCrunch reveals vaccine after review,Short abstract 32,https://publisher.io/article/774464,2025-08-30 19:52:37.732433+00:00,2025-08-31 06:01:37.732433+00:00,technology,en,,Staff Writer,"[""ai"", ""economy""]",0.5153829942578461,0.270329507630347
evt_000033,Al Jazeera,Reuters expands chip as season starts,Short abstract 33,https://example.com/article/132674,2025-08-30 23:38:37.732433+00:00,2025-08-31 12:11:37.732433+00:00,politics,en,DE,,"{""key"": ""value""}",-0.6552340382975641,0.41746141250872804
,NYTimes,CNN secures team amid growth,Short abstract 34,https://example.com/article/884613,2025-08-31 04:51:37.732433+00:00,2025-08-31 06:11:37.732433+00:00,,fr,,Staff Writer,"[""ai"", ""economy""]",0.66297892999823,0.463761245391176
evt_000035,CNN,CNN reports chip following earnings,Short abstract 35,https://site.net/article/180467,2025-08-31 03:30:37.732433+00:00,2025-08-31 13:34:37.732433+00:00,health,es,CA,,"[""ai"", ""economy""]",-0.012275207458025001,0.115289510435624
evt_000036,The Verge,Al Jazeera expands startup amid growth,Short abstract 36,https://site.net/article/381828,2025-09-01 14:42:37.732433+00:00,2025-09-01 21:51:37.732433+00:00,business,en,AU,Staff Writer,"{""key"": ""value""}",-0.6571209588233861,0.256675460246381
evt_000037,AP News,NYTimes reports team amid growth,Short abstract 37,https://example.com/article/403655,2025-08-30 21:28:37.732433+00:00,2025-08-31 02:57:37.732433+00:00,health,en,,,"{""key"": ""value""}",-0.828283726115382,0.30798353806182005
evt_000038,CNN,AP News expands policy after review,Short abstract 38,https://media.org/article/477019,2025-09-01 05:22:37.732433+00:00,2025-09-01 07:20:37.732433+00:00,technology,fr,,Staff Writer,"{""key"": ""value""}",-0.371232808963017,0.148615716652333
evt_000039,TechCrunch,Reuters wins market following earnings,Short abstract 39,https://site.net/article/416618,2025-08-31 17:32:37.732433+00:00,2025-08-31 23:29:37.732433+00:00,technology,en,FR,Staff Writer,"{""key"": ""value""}",0.511235528645647,0.343571993709609
evt_000040,TechCrunch,AP News reports market as season starts,Short abstract 40,https://media.org/article/168133,2025-08-31 21:46:37.732433+00:00,2025-09-01 01:34:37.732433+00:00,science,en,GB,Staff Writer,"{""key"": ""value""}",0.216523074710081,0.55543135595674
evt_000041,The Verge,BBC reports team following earnings,Short abstract 41,https://news.com/article/910741,2025-09-01 02:09:37.732433+00:00,2025-09-01 03:52:37.732433+00:00,world,en,US,,"[""ai"", ""economy""]",0.10287361104851901,0.526368009230454
evt_000042,TechCrunch,ESPN expands startup as season starts,Short abstract 42,https://site.net/article/151356,2025-08-30 17:11:37.732433+00:00,2025-08-30 18:57:37.732433+00:00,,fr,IN,Staff Writer,"{""key"": ""value""}",0.6035297211488401,0.358470645356028
evt_000043,The Verge,TechCrunch reports team following earnings,Short abstract 43,https://site.net/article/225559,2025-09-01 03:27:37.732433+00:00,2025-09-01 06:14:37.732433+00:00,technology,es,IN,Staff Writer,"[""ai"", ""economy""]",,0.188361329881876
evt_000044,ESPN,TechCrunch wins economy after review,Short abstract 44,https://news.com/article/458566,2025-08-31 00:11:37.732433+00:00,2025-08-31 01:39:37.732433+00:00,finance,en,DE,Staff Writer,"{""key"": ""value""}",0.763316034296036,0.8067443052002481
evt_000045,TechCrunch,TechCrunch debuts economy after review,Short abstract 45,https://media.org/article/888645,2025-08-30 15:34:37.732433+00:00,2025-08-31 03:35:37.732433+00:00,politics,en,CA,Staff Writer,"{""key"": ""value""}",-0.9217400089219311,0.33900545321470205
evt_000046,CNN,AP News investigates scientist following earnings,Short abstract 46,https://site.net/article/552813,2025-08-30 23:13:37.732433+00:00,2025-08-31 08:03:37.732433+00:00,entertainment,en,IN,Staff Writer,"[""ai"", ""economy""]",0.112689854048321,0.557483157713071
evt_000047,NYTimes,ESPN secures scientist in partnership,Short abstract 47,https://news.com/article/259455,2025-08-31 03:09:37.732433+00:00,2025-08-31 08:09:37.732433+00:00,finance,es,GB,,"[""ai"", ""economy""]",0.11232994945633201,0.16108833219676802
evt_000048,BBC,CNN expands market as season starts,Short abstract 48,https://news.com/article/756904,2025-08-31 05:41:37.732433+00:00,2025-08-31 12:30:37.732433+00:00,entertainment,fr,FR,Staff Writer,"{""key"": ""value""}",0.6954026525921551,0.064305435501693
evt_000049,The Verge,CNN expands market amid growth,Short abstract 49,https://site.net/article/392137,2025-09-02 06:27:37.732433+00:00,2025-09-02 13:04:37.732433+00:00,world,es,AU,Staff Writer,"{""key"": ""value""}",0.016739007501390003,0.19807418841523303
evt_000050,Reuters,Reuters reports vaccine as season starts,Short abstract 50,https://example.com/article/369752,2025-09-01 08:45:37.732433+00:00,2025-09-01 13:30:37.732433+00:00,sports,es,FR,,"{""key"": ""value""}",-0.37386745128027205,0.49745303772405003
evt_000051,TechCrunch,CNN launches team as season starts,Short abstract 51,https://example.com/article/315187,2025-09-02 11:02:37.732433+00:00,2025-09-02 14:47:37.732433+00:00,health,en,CA,,"{""key"": ""value""}",0.284872899967929,0.277353867215398
evt_000052,AP News,Al Jazeera secures AI model after review,Short abstract 52,https://site.net/article/537286,2025-08-31 04:32:37.732433+00:00,2025-08-31 07:20:37.732433+00:00,,es,US,,"{""key"": ""value""}",-0.28817923458974903,0.593621428014799
evt_000053,BBC,TechCrunch launches market after review,Short abstract 53,https://media.org/article/868316,2025-08-31 13:43:37.732433+00:00,2025-08-31 14:44:37.732433+00:00,business,en,IN,Staff Writer,"{""key"": ""value""}",0.421857019989742,0.6022364461474701
evt_000054,TechCrunch,Bloomberg reveals vaccine after review,Short abstract 54,https://example.com/article/393398,2025-08-30 19:59:37.732433+00:00,2025-08-31 01:01:37.732433+00:00,business,,FR,,"{""key"": ""value""}",0.49002465341944706,0.062909770686794
evt_000055,TechCrunch,AP News launches vaccine after review,Short abstract 55,https://site.net/article/302402,2025-09-01 13:22:37.732433+00:00,2025-09-01 17:11:37.732433+00:00,world,,BR,Staff Writer,"{""key"": ""value""}",-0.148403283600339,0.425596792597335
evt_000056,Reuters,The Verge reports policy in new study,Short abstract 56,https://media.org/article/451242,2025-08-31 12:44:37.732433+00:00,2025-08-31 16:46:37.732433+00:00,economy,en,CA,,"[""ai"", ""economy""]",0.323957463991973,0.05907097806146901
evt_000057,AP News,Reuters reports policy following earnings,Short abstract 57,https://site.net/article/914068,2025-09-01 03:13:37.732433+00:00,2025-09-01 04:27:37.732433+00:00,science,,FR,,"{""key"": ""value""}",0.18571015913626202,0.283688061839283
evt_000058,The Verge,BBC expands scientist citing demand,Short abstract 58,https://site.net/article/479436,2025-08-30 23:26:37.732433+00:00,2025-08-31 00:35:37.732433+00:00,world,fr,GB,Staff Writer,"{""key"": ""value""}",0.48021008580213104,0.128368708278046
evt_000059,ESPN,NYTimes files government after review,Short abstract 59,https://example.com/article/175670,2025-09-01 19:31:37.732433+00:00,2025-09-01 23:35:37.732433+00:00,entertainment,fr,GB,Staff Writer,"{""key"": ""value""}",,0.364261371911399
